,$\mu(x=2)$
159,59.6203637638284
160,70.34108221266675
161,75.10708172721176
162,66.94415068549985
163,65.26179561945482
164,62.09853765099895
165,62.53347612966865
166,68.28235126474104
167,68.5098142373505
168,68.59342183736405
169,69.15992983509925
170,61.3819970569698
171,73.99737467437075
172,66.65105838817908
173,62.52783187100105
174,60.6388751700907
175,62.28793121205057
176,63.48467757815109
177,71.13449571185613
178,67.15032841201284
179,61.31906621928078
180,59.52439070201398
181,58.89304129063321
182,56.99187976057698
183,75.4593074956162
184,70.57082817614034
185,66.64851712130228
186,63.67507005129955
187,66.62293643212958
188,73.08509320313131
189,63.44173843403003
190,66.12934070041379
191,56.9399128449462
192,69.95577765922198
193,63.56976929732541
194,61.77510521003857
195,69.5513975155127
196,68.43723647135188
197,70.44541504488032
198,58.80542660574837
199,64.95268965485386
200,64.95268965485386
201,66.92451654549511
202,59.173219111668416
203,62.01151227094986
204,68.55203429809856
205,70.36079854030115
206,64.10832237695377
207,59.42638520959369
208,65.65139759961099
209,63.71929756384423
210,61.005822805249295
211,66.79421727623304
212,71.78509975432992
213,62.93424838453658
214,62.90245408189595
215,61.872658804598395
216,63.518966222545714
217,59.29087321870028
218,53.19237604412248
219,63.31541590412054
220,61.669507177353765
221,63.46468896390153
222,67.38947946116089
223,66.3949660428191
224,65.87047215416591
225,57.28412512433643
226,60.04224396077233
227,61.88651737074615
228,61.45575831065567
229,63.96981156706342
230,65.06822492820993
231,60.21007085678537
232,63.510603164934864
233,60.79171869010893
234,64.21236784642223
235,60.20004393283223
236,57.07671357135501
237,63.47681568936589
238,61.63749510872391
239,60.08533138320525
240,58.72583249275449
241,73.79819498036117
242,64.97827651602877
243,61.7958609304248
244,59.42309120076709
245,56.90909781280954
246,67.43121458804013
247,61.39584016570187
248,66.9201567250127
249,61.711692629903624
250,69.50367527164143
251,61.73797105290666
252,71.99008581610687
253,67.24496508989571
254,63.916267958345735
255,63.15337410630271
256,74.31194795644065
257,68.62964818756478
258,63.816811081604115
259,69.2673358929857
260,60.9453250178313
261,73.62013460706368
262,54.703669386039756
263,54.703669386039756
264,65.65793298879481
265,70.22736604231665
266,57.173811225784526
267,68.4949729446598
268,55.38208392254296
269,55.58110892905416
270,64.04257371036103
271,64.45962945731333
272,59.151555377833446
273,68.33977112777306
274,65.25316099876827
275,65.25316099876827
276,58.461556167572326
277,68.7229467181415
278,62.74035401660428
279,61.76664787677739
280,67.15326382126568
281,61.7038843040148
282,62.04599488502374
283,61.342776821881905
284,67.59611813106315
285,68.3719601514252
286,67.40143315239072
287,60.99558235973703
288,67.00874112736311
